k [1/Mpc],P(k) [Mpc^3]
0.001,6163.577943375018
0.0010312831606721848,6333.147088781063
0.0010635449574860113,6506.757606518789
0.0010968160052731383,6684.461694566315
0.0011311278765939214,6866.308288044516
0.0011665131316981963,7052.344097153435
0.0012030053494233243,7242.613108753749
0.001240639159058832,7437.155692354787
0.0012794502732078738,7636.009202197775
0.0013194755216767062,7839.207428037729
0.0013607528864243335,8046.7782288131975
0.001403321537605485,8258.744803532942
0.0014472218707411348,8475.126036251919
0.0014924955450518296,8695.934474362999
0.0015391855229902058,8921.17660538508
0.0015873361110102092,9150.85361248376
0.0016369930016117025,9384.959756877752
0.0016882033167003635,9623.481744801873
0.0017410156523040162,9866.39980618494
0.0017954801246878311,10113.686711076227
0.001851648417912155,10365.306506124174
0.0019095738328780976,10621.21550571642
0.0019693113379074226,10881.361729806364
0.0020309176209047358,11145.683083798074
0.00209445114315147,11414.108293238933
0.0021599721947827186,11686.556922205962
0.002227542951999558,11962.937940769252
0.002297227536071153,12243.149926707163
0.0023690920741826337,12527.081299043668
0.0024432047621864884,12814.608489656113
0.0025196359293170154,13105.595587742293
0.002598458104929249,13399.895450538765
0.002679746087325691,13697.348805649415
0.0027635770147361595,13997.783395977945
0.0028500304385181076,14301.014827531018
0.002939188398646887,14606.84552110114
0.0030311355015675786,14915.062030698553
0.003125959000482281,15225.437314459428
0.0032237488781490294,15537.730656552874
0.0033245979322709418,15851.68359089397
0.0034286018635565864,16167.022114949066
0.0035358593665351795,16483.45864524804
0.0036464722232127486,16800.69422587793
0.0037605453996581717,17118.418341431814
0.0038781871456107235,17436.30702551617
0.003999509097203665,17754.00525777236
0.004124626382901352,18071.117036610412
0.004253657732750387,18387.22853971267
0.004386725591048499,18701.943984719506
0.004523956232538054,19014.949975338186
0.004665479882234474,19325.943780832826
0.00481143083900326,19634.57463511204
0.004961947603002905,19940.237282808284
0.005117173007114606,20242.217399951234
0.005277254352483538,20539.792796663318
0.005442343548300268,20832.437391011044
0.005612597255954973,21119.76377565432
0.005788177037701276,21401.382775896887
0.005969249509970734,21676.764485876003
0.0061559865014835105,21945.197624088123
0.006348565216305219,22205.94731126025
0.006547168402004739,22458.341197578673
0.006751984523072504,22701.873667957545
0.006963207939763887,22936.066864812477
0.007181039092537352,23160.412843652524
0.007405684692262439,23374.244031145794
0.007637357916378023,23576.846551302646
0.007876278611187058,23767.5061972163
0.008122673500479715,23945.487810268747
0.008376776400682922,24110.048891555525
0.008638828442740451,24260.456709261205
0.00890907830093414,24395.98823547995
0.009187782428863334,24515.933433138016
0.009475205302806548,24619.602373591173
0.009771619672696179,24706.310289335866
0.010077306820944614,24775.363551331782
0.010392556829367128,24826.095790396546
0.010717668854455029,24857.852190394482
0.011052951411260219,24869.927198918318
0.011398722666160524,24861.638500127046
0.011755310738783695,24832.349942988425
0.012123054013376525,24781.452447078813
0.012502301459914562,24708.384739626774
0.012893412965257155,24612.64894743612
0.013296759674662125,24493.76535006221
0.013712724343984005,24351.28615304713
0.014141701702890237,24184.84679861268
0.014584098829439866,23994.15652490504
0.015040335536380253,23778.994221656165
0.015510844769528404,23539.23876321466
0.015996073018614877,23274.874212265393
0.016496480740980212,22985.990038526576
0.017012542798525897,22672.789463663703
0.017544748908334597,22335.601273176995
0.018093604107387164,21974.922285520715
0.018659629231817465,21591.384111156003
0.019243361411159808,21185.742154047777
0.019845354578058035,20758.99348036004
0.020466179993919902,20312.325514526416
0.02110642679101555,19847.015919674606
0.021766702531534603,19364.590710553493
0.022447633784132247,18866.85236170459
0.023149866718511613,18355.637358124248
0.023874067718606475,17832.95974511888
0.02462092401494627,17301.23235781936
0.025391144336803482,16762.842863359376
0.026185459584742336,16220.184182783114
0.02700462352420683,15676.078186666879
0.02784941350080645,15133.298625563408
0.0287206311779783,14594.428848801497
0.02961910329772555,14062.411603644572
0.030545682465154333,13540.205632685691
0.03150124795755329,13030.392556915305
0.03248670655878377,12535.440848332912
0.033502993419772316,12057.711998659337
0.034551072945922204,11599.180504771124
0.03563193971228586,11161.737624690724
0.03674661940736691,10747.482862746116
0.037896169806447194,10358.180375738644
0.03908168177536267,9994.883290817324
0.04030428030568053,9656.96738003034
0.0415651255822599,9343.444661813426
0.04286541408420929,9053.293262582814
0.044206379720285335,8784.807938098427
0.045589294999810626,8536.067258815596
0.04701547224022133,8305.17302541295
0.04848626481239083,8088.583850677558
0.05000306842491095,7881.929988338574
0.05156732244854968,7681.3180983977345
0.05318051128214202,7483.754013918657
0.05484416576121021,7286.737544272412
0.05655986461065008,7086.565641674351
0.058329235942862066,6877.092978271187
0.06015395880274839,6652.876676126423
0.062035764761042736,6410.770489797267
0.06397643955748429,6149.172329886903
0.06597782479539538,5869.639098162479
0.06804181968927103,5575.941623292827
0.07017038286703833,5273.195909100755
0.0723655342286966,4967.369990025461
0.07462935686310139,4663.827608254853
0.0769639990247116,4367.381821326699
0.07937167617217551,4084.075338615065
0.0818546730706903,3820.138007975091
0.08441534596012984,3581.831983069077
0.08705612479099864,3373.7644163698346
0.08977951553033328,3198.2077442586888
0.0925881025397396,3053.316246785717
0.095484551027823,2935.01700541499
0.0984716095793378,2836.662886473728
0.10155211276345685,2750.671013399317
0.1047289838236359,2668.6012341380015
0.10800523745162532,2582.4172983437384
0.11138398264826196,2485.2020832293047
0.11486842567375537,2373.643912123374
0.11846187309026847,2247.64049048413
0.12216773489967929,2109.9147752031586
0.1259895277795028,1964.9466939886947
0.12993087842004167,1819.7165737100413
0.13399552696593392,1683.2589206935684
0.13818733056536328,1564.2960993730346
