k [1/Mpc],P(k) [Mpc^3]
0.001,2829.268134176429
0.0010312831606721848,2911.3267809994513
0.0010635449574860113,2995.6647305401425
0.0010968160052731383,3082.3375674160557
0.0011311278765939214,3171.401823946504
0.0011665131316981963,3262.9148304019027
0.0012030053494233243,3356.9345173574293
0.001240639159058832,3453.5196658460713
0.0012794502732078738,3552.729755871056
0.0013194755216767062,3654.62438504209
0.0013607528864243335,3759.263713213506
0.001403321537605485,3866.7085503470134
0.0014472218707411348,3977.0199286895745
0.0014924955450518296,4090.2592501814884
0.0015391855229902058,4206.488415162078
0.0015873361110102092,4325.769135868742
0.0016369930016117025,4448.162872950315
0.0016882033167003635,4573.731315499716
0.0017410156523040162,4702.535957997256
0.0017954801246878311,4834.637727125273
0.001851648417912155,4970.097441585865
0.0019095738328780976,5108.975432621798
0.0019693113379074226,5251.3306186278605
0.0020309176209047358,5397.221226381345
0.00209445114315147,5546.704733533531
0.0021599721947827186,5699.83681090519
0.002227542951999558,5856.6717602439685
0.002297227536071153,6017.262723442187
0.0023690920741826337,6181.660689398122
0.0024432047621864884,6349.914493873827
0.0025196359293170154,6522.071259729277
0.002598458104929249,6698.175376291009
0.002679746087325691,6878.267911267819
0.0027635770147361595,7062.387460972592
0.0028500304385181076,7250.569471818912
0.002939188398646887,7442.845082295675
0.0030311355015675786,7639.24203197026
0.003125959000482281,7839.784362337226
0.0032237488781490294,8044.490920946658
0.0033245979322709418,8253.37604923359
0.0034286018635565864,8466.449629548804
0.0035358593665351795,8683.715190869583
0.0036464722232127486,8905.170196963334
0.0037605453996581717,9130.806699926577
0.0038781871456107235,9360.60909792462
0.003999509097203665,9594.553430986209
0.004124626382901352,9832.609061331716
0.004253657732750387,10074.736909769643
0.004386725591048499,10320.887316738103
0.004523956232538054,10571.002343289369
0.004665479882234474,10825.01513971314
0.00481143083900326,11082.847450917567
0.004961947603002905,11344.41119680799
0.005117173007114606,11609.60760438181
0.005277254352483538,11878.317979214584
0.005442343548300268,12150.407638572662
0.005612597255954973,12425.730776149396
0.005788177037701276,12704.142870023146
0.005969249509970734,12985.500383010156
0.0061559865014835105,13269.649470386465
0.006348565216305219,13556.391188678954
0.006547168402004739,13845.455341780309
0.006751984523072504,14136.547757370305
0.006963207939763887,14429.372245961638
0.007181039092537352,14723.669324272758
0.007405684692262439,15019.176640878475
0.007637357916378023,15315.608702838636
0.007876278611187058,15612.600875733375
0.008122673500479715,15909.744315597305
0.008376776400682922,16206.612464431188
0.008638828442740451,16502.795087078597
0.00890907830093414,16797.89171319055
0.009187782428863334,17091.486909389463
0.009475205302806548,17383.111825318938
0.009771619672696179,17672.22849652362
0.010077306820944614,17958.276266250756
0.010392556829367128,18240.66733697993
0.010717668854455029,18518.773813870048
0.011052951411260219,18791.946465661367
0.011398722666160524,19059.51607397719
0.011755310738783695,19320.78149953792
0.012123054013376525,19575.02214969024
0.012502301459914562,19821.50135001366
0.012893412965257155,20059.434209854313
0.013296759674662125,20288.003705730407
0.013712724343984005,20506.38376082817
0.014141701702890237,20713.714627972502
0.014584098829439866,20909.10258083368
0.015040335536380253,21091.652729449845
0.015510844769528404,21260.456669533898
0.015996073018614877,21414.57793646243
0.016496480740980212,21553.08840430138
0.017012542798525897,21675.06806696442
0.017544748908334597,21779.581591054735
0.018093604107387164,21865.712955066054
0.018659629231817465,21932.57822814927
0.019243361411159808,21979.311376499394
0.019845354578058035,22005.083370044053
0.020466179993919902,22009.120718539398
0.02110642679101555,21990.716884614943
0.021766702531534603,21949.238792491815
0.022447633784132247,21884.130332315868
0.023149866718511613,21794.948444326426
0.023874067718606475,21681.38710924658
0.02462092401494627,21543.23772742299
0.025391144336803482,21380.434051008153
0.026185459584742336,21193.147141977042
0.02700462352420683,20981.671413876542
0.02784941350080645,20746.437475066374
0.0287206311779783,20488.212261368506
0.02961910329772555,20207.93345160047
0.030545682465154333,19906.632865111053
0.03150124795755329,19585.731033481603
0.03248670655878377,19246.912164888403
0.033502993419772316,18891.879244047355
0.034551072945922204,18522.63805363605
0.03563193971228586,18141.550395385802
0.03674661940736691,17750.91737606265
0.037896169806447194,17353.18747703847
0.03908168177536267,16951.275300561414
0.04030428030568053,16547.9842211155
0.0415651255822599,16145.921359543781
0.04286541408420929,15747.560664240571
0.044206379720285335,15355.178790868162
0.045589294999810626,14970.927084069765
0.04701547224022133,14597.661569228969
0.04848626481239083,14238.467667254137
0.05000306842491095,13896.019086764625
0.05156732244854968,13571.37060963269
0.05318051128214202,13264.472293553246
0.05484416576121021,12975.10328998161
0.05655986461065008,12702.048346371937
0.058329235942862066,12443.721430216778
0.06015395880274839,12198.1982421787
0.062035764761042736,11962.66570657791
0.06397643955748429,11734.255666661868
0.06597782479539538,11509.412496511304
0.06804181968927103,11284.386373403115
0.07017038286703833,11054.928061828234
0.0723655342286966,10816.443711889502
0.07462935686310139,10564.298474954561
0.0769639990247116,10293.903556684203
0.07937167617217551,10001.952808430493
0.0818546730706903,9686.610159848511
0.08441534596012984,9348.436073472394
0.08705612479099864,8989.789480980318
0.08977951553033328,8614.20723445065
0.0925881025397396,8226.752665135818
0.095484551027823,7834.786174914863
0.0984716095793378,7446.6014382464
0.10155211276345685,7070.439003212349
0.1047289838236359,6714.711771618361
0.10800523745162532,6386.973482696803
0.11138398264826196,6093.315744949325
0.11486842567375537,5837.186415277751
0.11846187309026847,5618.70050782649
0.12216773489967929,5433.699939773151
0.1259895277795028,5274.765794315956
0.12993087842004167,5131.542113868192
0.13399552696593392,4992.628244702158
0.13818733056536328,4846.9972057483
