k [1/Mpc],P(k) [Mpc^3]
0.0001,1727.0982702857211
0.00010392556829367125,1794.8504240004509
0.00010800523745162529,1865.2565717706025
0.00011224505680853065,1938.420231813759
0.00011665131316981963,2014.4489398236883
0.00012123054013376525,2093.45434439596
0.00012598952777950273,2175.552326854815
0.00013093533273536104,2260.8632125588224
0.00013607528864243335,2349.511820655145
0.00014141701702890234,2441.627684011877
0.00014696843861124463,2537.3453685787154
0.00015273778503907136,2636.804785239017
0.00015873361110102093,2740.1512240394895
0.00016496480740980205,2847.5351492900204
0.0001714406135851971,2959.1124318347465
0.00017817063195457305,3075.044877449936
0.00018516484179121546,3195.500606049598
0.000192433614111598,3320.6541411550425
0.00019998772705352857,3450.6862445430834
0.0002078383818579757,3585.784037786128
0.00021599721947827182,3726.1416241523566
0.0002244763378413224,3871.9605328715716
0.0002332883097864157,4023.4498738956713
0.00024244620170823283,4180.826128166925
0.0002519635929317015,4344.313048224995
0.0002618545958474233,4514.1424720738705
0.0002721338768375308,4690.554570331527
0.0002828166780230032,4873.798160249679
0.0002939188398646886,5064.130838214843
0.0003054568246515432,5261.818902754281
0.00031744774091091926,5467.138013278701
0.00032990936877709396,5680.373144600227
0.00034286018635565856,5901.818898992037
0.00035631939712285854,6131.7798760303285
0.000370306958400514,6370.570153535688
0.00038484361094874304,6618.5142252556525
0.0003999509097203664,6875.947268974634
0.00041565125582259895,7143.21534474719
0.00043196792973341727,7420.675785592107
0.0004489251258218605,7708.69636542865
0.0004665479882234472,8007.656206394872
0.000484862648123908,8317.94589790393
0.000503896262506515,8639.96713141073
0.0005236770544204653,8974.133790655815
0.0005442343548300266,9320.871409564026
0.0005655986461065005,9680.617681739117
0.0005878016072274912,10053.82243988873
0.0006108761607505036,10440.94631189396
0.0006348565216305217,10842.462388571097
0.0006597782479539537,11258.855290169673
0.0006856782936641739,11690.621249254156
0.0007125950633568407,12138.268790787604
0.0007405684692262436,12602.316708649914
0.0007696399902471156,13083.295617191076
0.0007998527336796708,13581.745771403246
0.000831251498989063,14098.21561927983
0.0008638828442740447,14633.26428262426
0.000897795155303332,15187.458332430759
0.0009330387172620361,15761.373167214024
0.0009696657893145519,16355.591339749773
0.001007730682094461,16970.69895394639
0.0010472898382363582,17607.288919403192
0.0010884019160690055,18265.955373239503
0.0011311278765939214,18947.294296911874
0.001175531073878369,19651.903645331244
0.0012216773489967915,20380.376996485556
0.0012696351276599736,21133.307478671053
0.0013194755216767058,21911.28258475393
0.0013712724343984,22714.882331912893
0.0014251026703029975,23544.67990785075
0.0014810460488806749,24401.230520478417
0.0015391855229902056,25285.076341894885
0.001599607301861487,26196.742095338424
0.0016624009789266115,27136.729708651266
0.0017276596646690358,28105.521606504342
0.0017954801246878305,29103.570999345306
0.0018659629231817451,30131.302965287723
0.001939212572065829,31189.10858399373
0.0020153376859417325,32277.33323637417
0.002094451143151469,33396.283827862535
0.002176670253153458,34546.217984555435
0.002262116930469025,35727.34241125757
0.002350917875457286,36939.8096741585
0.002443204762186487,38183.70067571679
0.0025391144336803463,39459.03280474943
0.002638789104828933,40765.74371589217
0.002742376573264949,42103.68454244076
0.0028500304385181063,43472.62510122978
0.0029619103297725525,44872.23008986841
0.0030781821425650787,46302.06769375721
0.003199018284775064,47761.59300175308
0.0033245979322709396,49250.130700045214
0.003455107294592217,50766.89183937758
0.0035907398910610534,52310.9535829082
0.0037316968377327513,53881.26229120981
0.0038781871456107214,55476.587237110776
0.0040304280305680515,57095.44334959784
0.00418864523543527,58736.18634975499
0.004353073364731888,60397.168385252924
0.00452395623253805,62076.71289166649
0.004701547224022131,63772.82539105648
0.004886109671160325,65482.688208134576
0.005077917243205399,67203.1167256811
0.005277254352483535,68930.93927964917
0.005484416576121017,70663.04983934663
0.005699711094326071,72396.15393249375
0.005923457145875801,74126.69140659465
0.006155986501483508,75850.88180444903
0.006397643955748424,77564.55373027748
0.0066487878384172625,79263.00323536132
0.0069097905457156435,80941.25459887151
0.007181039092537346,82593.90672385099
0.007462935686310132,84215.2315405292
0.007755898323389004,85799.20837934614
0.00806036140886134,87339.40851562565
0.008376776400682916,88829.17520771935
0.008705612479099857,90261.42691161337
0.009047357242349292,91628.7314860697
0.00940251742967013,92923.43262237753
0.009771619672696168,94137.37596180815
0.010155211276345676,95262.25756030179
0.010553861030365234,96289.46130374313
0.010968160052731372,97210.05570845531
0.011398722666160517,98015.14084184133
0.011846187309026826,98695.55534112471
0.012311217482038896,99242.24951209941
0.012794502732078732,99646.31164553147
